customer_age,device_type,product_category,item_price,discount_percentage,is_first_time_buyer,returned
22.0,Desktop,Home,400.3,10.0,Yes,0
,Mobile,Beauty,245.95,0.0,No,0
45.0,Mobile,Clothing,67.48,0.0,No,0
35.0,Desktop,Beauty,71.34,0.0,No,0
18.0,Desktop,Beauty,345.93,,No,1
18.0,Mobile,Home,220.85,20.0,No,0
18.0,Tablet,Beauty,108.26,,No,0
60.0,Desktop,Home,250.88,10.0,No,1
45.0,Tablet,Electronics,41.46,0.0,No,0
45.0,Desktop,Electronics,295.17,10.0,No,0
18.0,Desktop,Home,141.81,10.0,No,0
,Mobile,Electronics,400.8,20.0,No,0
60.0,Tablet,Clothing,162.08,0.0,No,0
22.0,Desktop,Beauty,233.06,10.0,No,0
18.0,Mobile,Clothing,15.69,0.0,No,0
18.0,Mobile,Beauty,45.5,0.0,No,1
22.0,Mobile,Electronics,202.32,20.0,No,0
35.0,Desktop,Clothing,245.17,10.0,No,0
35.0,nan,Electronics,304.01,0.0,Yes,0
22.0,Mobile,Beauty,152.91,0.0,No,0
45.0,Mobile,Home,350.54,10.0,Yes,0
18.0,Mobile,Home,431.46,20.0,No,0
22.0,nan,Clothing,392.13,50.0,No,1
22.0,Desktop,Electronics,29.41,,No,0
35.0,Desktop,Electronics,245.45,20.0,No,0
45.0,Mobile,Clothing,61.42,0.0,No,0
18.0,Mobile,Home,128.6,10.0,No,0
35.0,Mobile,Beauty,493.46,10.0,No,0
35.0,Mobile,Clothing,79.82,0.0,No,0
18.0,Desktop,Beauty,254.46,20.0,Yes,0
45.0,Desktop,Home,312.9,0.0,Yes,0
18.0,nan,Electronics,354.21,50.0,No,1
18.0,nan,Home,284.23,10.0,No,1
,Mobile,Clothing,14.79,10.0,Yes,0
,Desktop,Electronics,169.97,10.0,Yes,1
60.0,Tablet,Clothing,263.68,50.0,Yes,0
22.0,Desktop,Clothing,53.05,10.0,No,1
18.0,Mobile,Home,181.81,10.0,No,0
45.0,Mobile,Clothing,26.27,0.0,No,1
35.0,Mobile,Home,48.5,10.0,Yes,1
18.0,nan,Electronics,204.49,0.0,No,0
35.0,Desktop,Home,75.03,20.0,Yes,1
18.0,Mobile,Electronics,288.1,10.0,Yes,0
,Desktop,Home,347.84,10.0,No,0
22.0,Desktop,Beauty,402.29,0.0,Yes,0
45.0,Mobile,Beauty,108.07,0.0,Yes,0
22.0,Mobile,Clothing,92.07,20.0,Yes,0
35.0,Desktop,Home,61.24,0.0,Yes,0
35.0,Mobile,Home,321.85,0.0,Yes,1
18.0,Desktop,Electronics,356.17,0.0,No,0
,Mobile,Clothing,25.48,,No,0
45.0,Desktop,Home,468.74,20.0,No,1
,Mobile,Clothing,35.47,0.0,No,1
60.0,Mobile,Beauty,275.24,0.0,Yes,1
35.0,Desktop,Home,357.44,0.0,No,0
,Mobile,Home,436.77,20.0,No,1
18.0,Mobile,Clothing,359.9,10.0,Yes,0
18.0,Mobile,Home,402.85,0.0,No,0
18.0,Desktop,Clothing,176.33,0.0,Yes,0
22.0,Desktop,Home,409.26,0.0,No,0
22.0,Desktop,Electronics,49.26,10.0,No,0
22.0,Mobile,Clothing,448.46,20.0,No,0
60.0,Mobile,Home,278.32,0.0,No,0
22.0,Mobile,Beauty,410.48,0.0,No,0
22.0,Mobile,Home,231.64,0.0,No,0
35.0,Mobile,Beauty,325.35,,Yes,0
18.0,Mobile,Beauty,267.94,0.0,Yes,0
60.0,Mobile,Electronics,368.48,20.0,No,0
18.0,Tablet,Clothing,50.0,10.0,No,0
,Mobile,Home,39.57,0.0,No,0
45.0,Mobile,Electronics,131.08,0.0,No,1
18.0,Desktop,Home,88.18,0.0,No,0
18.0,Mobile,Beauty,437.17,10.0,No,0
60.0,Desktop,Clothing,117.41,20.0,No,0
45.0,Desktop,Home,488.17,10.0,No,0
45.0,Tablet,Home,175.08,10.0,No,1
45.0,Mobile,Beauty,99.24,0.0,No,0
18.0,Tablet,Home,396.95,,Yes,0
22.0,Mobile,Home,332.77,20.0,No,0
18.0,Mobile,Beauty,254.12,0.0,Yes,0
60.0,Mobile,Electronics,282.13,,Yes,0
45.0,nan,Beauty,362.41,10.0,Yes,0
22.0,Mobile,Electronics,121.94,10.0,No,0
18.0,Mobile,Clothing,498.2,20.0,No,0
22.0,Desktop,Electronics,487.65,20.0,Yes,0
22.0,Mobile,Electronics,328.66,10.0,No,1
45.0,Mobile,Clothing,107.78,0.0,No,1
45.0,Mobile,Electronics,343.31,0.0,No,0
60.0,Mobile,Beauty,45.38,50.0,Yes,0
35.0,Mobile,Electronics,25.02,0.0,No,0
18.0,Mobile,Clothing,136.26,0.0,No,0
45.0,Desktop,Beauty,236.69,10.0,Yes,0
45.0,Mobile,Clothing,435.45,10.0,Yes,1
35.0,Mobile,Clothing,366.31,10.0,No,1
45.0,Desktop,Home,373.93,50.0,No,0
35.0,Mobile,Home,218.49,0.0,No,0
35.0,Desktop,Clothing,179.51,0.0,No,0
35.0,Mobile,Clothing,191.81,0.0,No,0
18.0,Mobile,Clothing,493.95,50.0,No,0
18.0,Mobile,Home,29.65,10.0,Yes,0
18.0,Mobile,Home,434.85,0.0,No,0
45.0,Mobile,Electronics,293.55,20.0,No,0
22.0,Mobile,Electronics,224.92,50.0,No,0
35.0,Mobile,Clothing,365.38,20.0,No,1
,Mobile,Beauty,248.47,50.0,No,0
22.0,Mobile,Beauty,437.98,0.0,Yes,0
35.0,Mobile,Home,451.34,20.0,No,0
45.0,Mobile,Home,216.64,10.0,Yes,0
22.0,Mobile,Home,145.65,20.0,No,0
18.0,Desktop,Clothing,300.25,20.0,Yes,0
22.0,Mobile,Beauty,457.06,20.0,Yes,1
18.0,Desktop,Electronics,113.22,10.0,No,0
,Desktop,Clothing,315.25,0.0,Yes,1
60.0,Mobile,Electronics,319.46,10.0,No,0
45.0,Desktop,Electronics,369.23,,No,0
60.0,Tablet,Clothing,74.47,50.0,Yes,0
60.0,Mobile,Electronics,360.75,0.0,Yes,0
18.0,Mobile,Beauty,455.43,0.0,No,0
60.0,Desktop,Electronics,98.04,0.0,No,0
35.0,Desktop,Beauty,126.4,20.0,No,0
60.0,Mobile,Beauty,485.98,20.0,No,1
60.0,Mobile,Beauty,98.68,0.0,No,1
22.0,Mobile,Home,428.65,10.0,No,1
18.0,Mobile,Electronics,251.22,20.0,No,0
22.0,Desktop,Clothing,131.14,20.0,No,0
35.0,Mobile,Clothing,436.67,10.0,Yes,0
60.0,Mobile,Electronics,228.2,10.0,No,0
60.0,Desktop,Home,262.26,10.0,No,0
